Year;Title;Body;Category
2023;Kashi betan Awai iní;"""Moatian, jonibenatianronki jatibi,jawekibo joni ikatikanai, noakeskaribi.,Meskó teebo aki jakanaboribi,Jaskara ixonronki, paotati moxanki,anike awaibetan kashi jaweki menikin,,maroxonon ixon. ,Menia kabekonike paro reboki,marokasi.,Pichika nete inatibi reokokana iki,,reokoxon jatibi jaweki marotibo jenenko,bomakana iki.,Jaskataxki jobekonriba iki jawen ibo,keshani. Nokoxonki yoibekona iki:,- Noara min jawekinin ochake, jatibira,reokoxon jenemeran non bomake - akin.,Jaskaakana ibon yoia iki:,- Kamentankanwe ea nemanxoni, maton,biamakera en mato jaweabirai - akin.,Jatianki kabekonriba iki jaweki nemani.,Nemankinbi jawebi biamakana iki. ,Kashin awai yoia iki:,-nemankinbira jawebi non biamai, eara,jonetai, yameresa ea pikotai jaweki ibon,meranaketian - akin.,Jatianki awaibichoshoko inike jaweki nemani,jeneyamai, paotati moxaki raketi.,Jakopironki awainin noyakin jene wish,abainai paotati moxan jaweki nemankin.,Jatian kashibiribi jaskatax joneni ikax,ramakamanbi yameres pikotai.""";Cuento
2023;Kashi betan Awai iní;"""Awitia paro kexa,,“Shambo”,jemankoronki ja,ikatiai Kate janeya,ainbo jawen bake,rabeya Rate itan,Tsoma. Baritiatibiki,akatiai santira,banakin jawen,bakebobetan. ,Westiora neteronki,Kate ka iki jawen,wainko santira,banayantanxon,moa tsekati,jakonrin ixon oini,,nokotax bakebo,ratekana iki santira,makankeska,tipiakebaina oinax.,Katen jato yoiya,iki jawekeskaxon,santira joshina,onantirin ixon,ikaxbi, Rate betan,Tsoman jakoankin,ninkayama iki,,choronkin santira,mawini iki tsinikin.,Jaton titan yoia iki,westiora simana,pekaora moa,tsekati jakon ikai,,jaa kamanra,Tsoman jawen,yosi paranta wai,orokinai itan Raten,jawen yoxan,mapó akinai jawen,peotainxon.,Westiora simana,pekao kabekonai Rate,betan Tsoma, santira,kokonoxon tsekai,,kakin bokana iki jaton,tasá jan santira papiti.,Wainko nokoxon,jaskashamanxon,santira joshin katoti,onayamakana iki.,Jaskatax xobon,jobekona iki jaweoma,onisbekonax, moa,bain jokin jaton yoxan,Kaisi bechikana iki.,Jaskaxon yoikana,iki jaton yoxan,Kaisi santira joshin,onayamakana.,Kaisinin jato boa,iki santira katoti.,Oinkanwe santira,noi ranshinbo,riki moa joshin.,Jaskaxon akana,iki oinbokin,,santira tseka,tsekabainkana,iki jaton tasákan,papixon beti,senenres.,Raten,ishtokawanxon,oina iki westiora,santira maxkoshoko,rakatina ikaxbi moa,barín toea, Jaa,ointana Rate sai ika,iki “Tsoma oinwe,nato santira jawen,napo joshinshaman,maxé jisá”.,,Rate betan,Tsomaronki,yantanshoko,nokota iki. Jaton,tita masá shinama,iki, jainxon yoiya,iki jato winota,jaweki, jakiribira,noa jaskayamai,min joira non,ninkaxonai akin,akana iki jaton tita.,Jaton rarebo,kenakana iki santira,kokoi bekanti. Titan,santira kaxkeamabi,Raten betixon akai:,“maxe, maxe” akin,kaxkea joshin iti,kopi.,Jaskaxon kaxkea,oina ika iki,joshishaman itan,bata.,Jaskara oinax,jawen rarebobo,rateta iki.,Wetsa jonibo,keshankana,iki santira,kaxkenoxon,“maxe,maxe” ati,joshinshaman,iti kopi. """;Cuento
2023;Nato netemea Jiriabaon tita;"""Nato riki Sanken Bita, westiora bake rayá,,yokamis itan tsinikas, jawen keen riki,penpebo chibanti, isábo itan jatibi nato netemea,noyai jawekibo.,Jara, jake jawen yosibobetan, anibobetan,itan jawen wetsabobetan.,Westiora neteronki, Sanken Bita pikota iki,shoko chankati jawen yosibetan, kakinronki,oina iki westiora yankon penpen metsashoko.,Ja chibani ishtoa iki jaweboki jamatai ixon,oinaxmabi, jamata iki joabo,,botonshokobo, jimabo, xenabo itan jatibi,maxko jiriashokobo pastonko jaabo.,Jawen yosi, ja jaskatai oinxon yoiya iki:,Sanken Bita, neri jowe moa tanti, ja penpenbo,teayamawe ibakanon jain jakonax noyanoyai.,Sanken Bita, jaskaakin yoiya kax yakata,iki jawen yosi patax itan... moa jain oxaa,baneta iki.,Jaweti seré winota pekao Sanken Bita,jishtenax winia iki.,¿Jaweki mia winota bake?, ¿jawe kopiki,mia winiai?, akin yokata iki yosin.,Ainbo pein ewaya... itan wetsabo joa,itan isákeska mápoyabaonra ea katexon,yoikanke jaboronki iki non niikan itan nato,netemea jiriabaon tita.,Ikonshaman onsara ike yosi,,eara yoikanke penpenbo, nia,jiwishokobo, yoinabo en jato,jakonmakin akaronki jabo,keyokanai, akin.,Yosi Kopin, jawen mapo xoananbi,akai neskaakin yoikin: Ja ainbobo min,namatabaonra, mia yoikaswanke min jato,jakonmatima itan jatibi mia kateaketana,jiria jawekibo noixon koiranti.,Non Mai Ibonra mia yoiyai,jatibi nato netemea jiria,jawekibobetan jakonax jati.,Yosi, eara keenyamai penpenbo,keyotinin, joaboribi keyóti yamake,,yoinaboribi, non niiboribi ... ixon,yoiya iki ratekainxon Sanken,Bitan.,¡¡Jaskara iketian, koirankanwe!!,Akin yoiya iki yosin,jakonshokoakin.,Sanken Bitan jato yoiya iki enra,oinai, koiranai jakonmayamakin,jatibi nato netemea jiria jawekibo,nato non tita Mainko ikanabo.,¡¡Ja maxkoshokobobi! Akin yoiyai,iki Sanken Bitan.,¡¡Jara kikin jakon iki!! Ixon yoiya,iki yosin.,Jato rabébi jain banekana iki,isábo keotai ninkati.""";Cuento
2023;Paiko rao;"""Makaya jemankora jake onan ainbo,Kabi. Ja ainbo riki meskó rao jiwi,itan xoxo niashokobo banaya. Isinai,jonibo jan raonti banaabo.,Ja jemankoribira jake Meni,,westiora bake yoitima itan tsinikas,,wetsatianbo yoikanabi shinanbenoxon,mechokixomabi jawekiai.,Westiora neteronki, pirotanin tsinitsiniwanar,joa iki xobonko jawekiai.,“¿Moaki mia mechokita?”, akin yokata iki,jawen titan.,Meni chiarextiki mesoikitanan yoia iki: eara,moa ike, nokon mekenra kerasma iki.,Jawen yapa kobin pikin keyotananbi.,Meni poro iki peokota iki.,Jawen tita rateta iki jain raonmeti,xobo jato ochoma yamaketian.,Tita onan ainbo Kabi benano bokanwe,,jara paro kexábi jake; ika iki Menin,papa. Meni moa nitibobi atipanyama iki,chexakati, jawen papanres papianan,boa iki. ,Onan ainbo Kabin xobonko,nokokanketian, jatokiranxon Meni,ointanan naxeyoxon jato yoia iki,eapari manakanwe, akin.,Kabi kachio ka iki jawen rao banabo,shinan, kaxon benaa iki “Paiko”,tsekamatianbi jan yoia iki “Enra mia,biai, poró ikai bake benxoaxonti, ea,benxoaxonwe moa masá tenetima kopi”,Jaskaakin yoixon peibo tsekaxon boa iki.,Xobon nokoxon peibo kobianxon,nexanshaman xeamaa iki. Amaa,basimabi Meni poiti kini shinan kaa,iki. Jaskatax Meni tantipaketa iki,jawen porokan chexá.,Jaskaxon onan ainbo Kabin jawen,tita yoiya iki, Menira noina iki jakopira,porokan chexake. Ikaxbi ja koshi rao,paiko peinra noin potamake.,Onan ainbo Kabin Meni shinama iki,,mechokixomabi pítima, pinoxonpari,mechokiti jakiribi isintima kopi. Menin,irake aka iki Kabi, yoiya iki enra,mechokixon piai.,Meni itan jawen rarebonin onankana iki,rao jiwibo kikin koshi isini jan raometibo,,jaskaxon wetsa rarebobo itan jato patax,ja jonibo jato onanmakana iki.,Jaskaxon Menin onana iki,mechokixon jawekiati, janra onanke,rao jiwibaon benxoti iki ikaxbi Meni,koirameta iki jakiribi poro jakonma,chexakan inaketian.""";Cuento
2021;Ewe yura e weruwi;"""Ewe bapu weruwi,iska iskai iki,,ewe puña weruaki,iska iskai iki,,ewe chika weruwi,,iska iskai iki,,ewe taeju weruwi,iska iskai iki,,ewe yuraju weruwi,iska iskai iki.""";Cancion
2021;Uwi inu;"""Uwi inu uwi inu,pakenu tuwis tuwis,iyana,,uwi inu uwi inu,peiyana wakeshtaju,wanaikadi,,uwi inu uwi inu yapa,wakeshta wawe,tupitakadi.""";Cancion
2021;Da ewe;"""Da ewe burru, da ewe,burru pae bei awe bapu,,na kurabistu waxuwa,baitiniwakeshta wisti wisu.,Da ewe burru, da ewe,burru pae bei awe rechuku,,na kurabistu ina waka,pista juruya.,Da ewe burru da ewe,burru awe uwitini pae wai,na kurabistu ina cachawi,rau."",";Cancion
2021;Yapawakeshta;"""Wisti, rawe, tres,yapawakeshta,,cuatro, cinco, seis,,yapawakeshta,,siete,,ocho, nueve,,yapawakeshta.,Ana wisti na diez.""";Cancion
2021;Da ee;"""Da eeju wekadi,,da eeju jukadi,da eeju,kerexkuiju keyo.""";Cancion
2021;Da ipukerex;"""Da ipukerex ika,wakamera, na bakex,bawa kiddimera weyas,weyas, ayana atu puti,ikaju idibayana bawa,,namari weyas weyas,ayana atu tede ikaju,wakamera.,""";Cancion
2021;Yapawakeshtaju;"""Da yapawakeshtaju,juwasai wakamera,,iñama naskata,axkapa ikaju,sharakuiju, ma uwi,,pakeaidu ichutiri,ikadi idibayana,wiki wiki akadi,atu tedeju ikaju,,yapawakeshtaju.""";Cancion
2021;Xidishara;"""Tsekei xidi na,pedati,,tsekei xidi na,pedati,,duku chaxata,naskata xada,bebaxi.""";Cancion
2021;Wawa dadashta ;"""Wawaju yuyakadi,xikijuari,wawakeshta,,wawe pikadi xikiju,naskata dedaju,wawa, wakeshtaju,wanaikadi,iwijuaduwax""";Cancion
2021;Takarawakeshta;"""Na ewe puchitu,buntish asharapai,pike xiki naskata xeda,mishit, a ma batsi beki,yuwi.""";Cancion
